"file","module","object_type","object_name"
"033_audit_rls_violations.sql","seguridad","view","v_rls_violations_hourly"
"033_audit_rls_violations.sql","seguridad","function","log_rls_violation"
"033_audit_rls_violations.sql","seguridad","function","audit_rls_access"
"033_audit_rls_violations.sql","seguridad","function","add_rls_audit_trigger"
"033_audit_rls_violations.sql","seguridad","function","cleanup_old_rls_audit_logs"
"033_audit_rls_violations.sql","seguridad","function","generate_rls_security_report"
"034_configure_rls_alerts.sql","seguridad","table","rls_alert_config"
"034_configure_rls_alerts.sql","seguridad","table","rls_alert_history"
"034_configure_rls_alerts.sql","seguridad","view","v_rls_alerts_recent"
"034_configure_rls_alerts.sql","seguridad","view","v_rls_alerts_unacknowledged"
"034_configure_rls_alerts.sql","seguridad","view","v_rls_alerts_summary"
"034_configure_rls_alerts.sql","seguridad","function","send_rls_alert"
"034_configure_rls_alerts.sql","seguridad","function","trigger_rls_alert"
"034_configure_rls_alerts.sql","seguridad","function","acknowledge_rls_alert"
"034_configure_rls_alerts.sql","seguridad","function","enable_rls_alert"
"034_configure_rls_alerts.sql","seguridad","function","disable_rls_alert"
"034_configure_rls_alerts.sql","seguridad","function","get_alert_statistics"
"034_configure_rls_alerts.sql","seguridad","function","cleanup_old_rls_alerts"
"035_compras_completo.sql","compras","table","cotizaciones_compra"
"035_compras_completo.sql","compras","table","cotizacion_compra_detalles"
"035_compras_completo.sql","compras","table","oc_aprobaciones"
"035_compras_completo.sql","compras","table","recepciones"
"035_compras_completo.sql","compras","table","recepcion_items"
"035_compras_completo.sql","compras","table","devoluciones_proveedor"
"035_compras_completo.sql","compras","table","devolucion_items"
"035_compras_completo.sql","compras","view","vw_ordenes_compra_abiertas"
"035_compras_completo.sql","compras","view","vw_recepciones_detalle"
"035_compras_completo.sql","compras","view","vw_devoluciones_detalle"
"035_compras_completo.sql","compras","function","calcular_totales_cotizacion_compra"
"035_compras_completo.sql","compras","function","validar_vigencia_cotizacion_compra"
"035_compras_completo.sql","compras","function","calcular_cantidad_pendiente_oc"
"035_compras_completo.sql","compras","function","calcular_totales_orden_compra"
"035_compras_completo.sql","compras","function","calcular_totales_devolucion_proveedor"
"035_compras_completo.sql","compras","policy","cotizaciones_compra_tenant_isolation on cotizaciones_compra"
"035_compras_completo.sql","compras","policy","cotizacion_compra_detalles_tenant_isolation on cotizacion_compra_detalles"
"035_compras_completo.sql","compras","policy","ordenes_compra_tenant_isolation on ordenes_compra"
"035_compras_completo.sql","compras","policy","orden_compra_detalles_tenant_isolation on orden_compra_detalles"
"035_compras_completo.sql","compras","policy","oc_aprobaciones_tenant_isolation on oc_aprobaciones"
"035_compras_completo.sql","compras","policy","recepciones_tenant_isolation on recepciones"
"035_compras_completo.sql","compras","policy","recepcion_items_tenant_isolation on recepcion_items"
"035_compras_completo.sql","compras","policy","devoluciones_proveedor_tenant_isolation on devoluciones_proveedor"
"035_compras_completo.sql","compras","policy","devolucion_items_tenant_isolation on devolucion_items"
"037_add_idempotency_pago_lote.sql","core","table","pagos_lote"
"037_add_idempotency_pago_lote.sql","core","function","procesar_pago_lote"
"037_add_idempotency_pago_lote.sql","core","policy","pagos_lote_tenant_isolation on pagos_lote"
"038b_create_conciliaciones_bancarias.sql","finanzas","table","conciliaciones_bancarias"
